i_adc_measurements	float32_t [512]	0x20001210 <i_adc_measurements>	
	[0...99]	float32_t [100]	0x20001210 <i_adc_measurements>	
		i_adc_measurements[288]	float32_t	-0.0507432222	
		i_adc_measurements[289]	float32_t	0.187318027	
		i_adc_measurements[290]	float32_t	-0.178920031	
		i_adc_measurements[291]	float32_t	-0.342952609	
		i_adc_measurements[292]	float32_t	0.303043932	
		i_adc_measurements[293]	float32_t	0.246818781	
		i_adc_measurements[294]	float32_t	-0.29201588	
		i_adc_measurements[295]	float32_t	-0.151449159	
		i_adc_measurements[296]	float32_t	0.429737389	
		i_adc_measurements[297]	float32_t	0.0847424343	
		i_adc_measurements[298]	float32_t	-0.462179512	
		i_adc_measurements[299]	float32_t	0.131046444	
	[300...399]	float32_t [100]	0x200016c0 <i_adc_measurements+1200>	
		i_adc_measurements[300]	float32_t	0.243799821	
		i_adc_measurements[301]	float32_t	-0.238465875	
		i_adc_measurements[302]	float32_t	-0.0888282657	
		i_adc_measurements[303]	float32_t	0.279913187	
		i_adc_measurements[304]	float32_t	-0.0198092163	
		i_adc_measurements[305]	float32_t	-0.390417844	
		i_adc_measurements[306]	float32_t	0.059566617	
		i_adc_measurements[307]	float32_t	0.363244355	
		i_adc_measurements[308]	float32_t	0.0483530164	
		i_adc_measurements[309]	float32_t	-0.210480034	
		i_adc_measurements[310]	float32_t	-0.120057285	
		i_adc_measurements[311]	float32_t	0.0167402327	
		i_adc_measurements[312]	float32_t	0.123398915	
		i_adc_measurements[313]	float32_t	0.178023189	
		i_adc_measurements[314]	float32_t	-0.106842786	
		i_adc_measurements[315]	float32_t	-0.178343356	
		i_adc_measurements[316]	float32_t	-0.0391613245	
		i_adc_measurements[317]	float32_t	-0.0364739895	
		i_adc_measurements[318]	float32_t	0.302845001	
		i_adc_measurements[319]	float32_t	0.198421121	
		i_adc_measurements[320]	float32_t	-0.503869534	
		i_adc_measurements[321]	float32_t	-0.160080865	
		i_adc_measurements[322]	float32_t	0.49897483	
		i_adc_measurements[323]	float32_t	0.026888866	
		i_adc_measurements[324]	float32_t	-0.296436489	
		i_adc_measurements[325]	float32_t	-0.0428594276	
		i_adc_measurements[326]	float32_t	0.129713148	
		i_adc_measurements[327]	float32_t	0.192196339	
		i_adc_measurements[328]	float32_t	0.0356320068	
		i_adc_measurements[329]	float32_t	-0.165554613	
		i_adc_measurements[330]	float32_t	-0.288514018	
		i_adc_measurements[331]	float32_t	0.0584535822	
		i_adc_measurements[332]	float32_t	0.309315652	
		i_adc_measurements[333]	float32_t	0.0193775669	
		i_adc_measurements[334]	float32_t	-0.088188827	
		i_adc_measurements[335]	float32_t	-0.198684022	
		i_adc_measurements[336]	float32_t	-0.0982629731	
		i_adc_measurements[337]	float32_t	0.364709169	
		i_adc_measurements[338]	float32_t	0.149442106	
		i_adc_measurements[339]	float32_t	-0.3746714	
		i_adc_measurements[340]	float32_t	-0.105193704	
		i_adc_measurements[341]	float32_t	0.234548911	
		i_adc_measurements[342]	float32_t	0.10306035	
		i_adc_measurements[343]	float32_t	-0.100976177	
		i_adc_measurements[344]	float32_t	-0.044790443	
		i_adc_measurements[345]	float32_t	0.0726949722	
		i_adc_measurements[346]	float32_t	-0.124773853	
		i_adc_measurements[347]	float32_t	-0.0152258128	
		i_adc_measurements[348]	float32_t	0.475917935	
		i_adc_measurements[349]	float32_t	-0.0170829594	
		i_adc_measurements[350]	float32_t	-0.967095256	
		i_adc_measurements[351]	float32_t	0.300066054	
		i_adc_measurements[352]	float32_t	0.832997859	
		i_adc_measurements[353]	float32_t	-0.681407034	
		i_adc_measurements[354]	float32_t	-0.216330796	
		i_adc_measurements[355]	float32_t	0.474743843	
